ID,Name,Department,Year,Email,Phone,Photo,Date_Added
wdkjGEFY,SD KA,Computer Science,1st Year,sdVHFrhjbfvcj,bseWFJE,No Photo,2025-10-16 00:47:18
wdkjGEFY,SD KA,Computer Science,1st Year,sdVHFrhjbfvcj,bseWFJE,No Photo,2025-10-16 00:47:23
wdkjGEFY,SD KA,Computer Science,1st Year,sdVHFrhjbfvcj,bseWFJE,No Photo,2025-10-16 00:47:25
wdkjGEFY,SD KA,Computer Science,1st Year,sdVHFrhjbfvcj,bseWFJE,No Photo,2025-10-16 00:47:27
wdkjGEFY,SD KA,Computer Science,1st Year,sdVHFrhjbfvcj,bseWFJE,No Photo,2025-10-16 00:47:31
davhs,dVHJS,Computer Science,1st Year,NSDM,ShjsM,student_images/davhs_dVHJS.jpg,2025-10-16 01:17:48
Aman Sinha,Aman Sinha,Computer Science,1st Year,1111111111,1111111111,student_images/Aman Sinha_Aman Sinha.jpg,2025-10-16 01:34:32
123,123,Computer Science,1st Year,,,No Photo,2025-10-22 13:59:38
123,123,Computer Science,1st Year,,,No Photo,2025-10-22 14:22:56
aman sinha,aman sinha,Computer Science,1st Year,123,123,student_images/aman sinha_aman sinha.jpg,2025-10-31 15:18:10
Bhanu,Bhanu,Computer Science,1st Year,bhanu,129192928,student_images/Bhanu_Bhanu.jpg,2025-10-31 15:20:30
